alumni_id,name,major,company,position,graduation_year
UB0284,Aditya Efendi,Agribisnis,"PT Japfa Comfeed Indonesia, Tbk",Supervisor Finance,2023
UB0285,Bayu Susanto,Sistem Informasi,PT Sejahtera Abadi,Senior Data Scientist,2023
UB0286,Dewi Nugroho,Teknik Komputer,PT MAS ARYA INDONESIA,Senior IT Support,2020
UB0287,Irfan Lestari,Manajemen,PT Trinusa Travelindo,Specialist Marketing,2017
UB0288,Dewi Oktaviani,Administrasi Publik,"PT Bank Danamon Indonesia, Tbk",Manager Marketing,2015
UB0289,Xena Widodo,Agroekoteknologi,Telkom Indonesia,Supervisor Operations,2020
UB0290,Andi Santoso,Ekonomi Islam,PT MAS ARYA INDONESIA,Junior Staff Sales,2017
UB0291,Arif Oktaviani,Sistem Informasi,PT CFU Technology Indonesia,Lead DevOps,2019
UB0292,Indah Budiman,Teknik Sipil,PT CFU Technology Indonesia,Officer Sales,2022
UB0293,Siti Utama,Teknik Informatika,PT Trinusa Travelindo,Lead Data Scientist,2022
UB0294,Lestari Kusuma,Teknik Industri,PT. Bank KEB Hana Indonesia,Analyst Sales,2020
UB0295,Agus Anggara,Teknologi Hasil Pertanian,Bank Mandiri,Specialist Finance,2015
UB0296,Farhan Baswedan,Teknik Sipil,"PT DCI Indonesia, Tbk",Supervisor Operations,2016
UB0297,Fajar Hartono,Agribisnis,"PT DCI Indonesia, Tbk",Management Trainee Finance,2015
UB0298,Agus Prasetyo,Administrasi Publik,PT Indocyber Global Teknologi,Junior Staff Admin,2019
UB0299,Fajar Jaya,Hubungan Internasional,PT Mencari Cinta Sejati,Analyst Sales,2021
UB0300,Siti Saputra,Hubungan Internasional,PT Sejahtera Abadi,Officer Admin,2015
UB0301,Hadi Yulianto,Arsitektur,"PT. Trimegah Sekuritas Indonesia, Tbk",Officer Operations,2019
UB0302,Yoga Pangestu,Ilmu Ekonomi,Telkom Indonesia,Specialist Finance,2021
UB0303,Kevin Suharto,Teknik Sipil,PT Mencari Cinta Sejati,Management Trainee Admin,2021
UB0304,Irfan Cahyono,Teknologi Informasi,PT Sumber Rejeki,Junior IT Support,2019
UB0305,Bayu Qodir,Teknik Elektro,JAPFA FOOD INDONESIA,Manager Sales,2021
UB0306,Erlangga Fauzi,Teknik Industri,StartUp Gagal Bangkit,Supervisor Admin,2016
UB0307,Rina Yudhoyono,Teknologi Informasi,StartUp Gagal Bangkit,Lead Software Engineer,2020
UB0308,Hana Nugroho,Ekonomi Islam,CV Maju Mundur,Specialist HR,2020
UB0309,Dimas Wijaya,Manajemen,"PT Bank Danamon Indonesia, Tbk",Specialist Marketing,2019
UB0310,Rina Qodir,Arsitektur,Gojek,Analyst Marketing,2015
UB0311,Julia Hidayat,Hubungan Internasional,PT. Bank KEB Hana Indonesia,Analyst HR,2022
UB0312,Dimas Baswedan,Keuangan Perbankan,Xiaomi Technology,Specialist Marketing,2015
UB0313,Budi Qodir,Teknik Informatika,PT CFU Technology Indonesia,Junior IT Support,2023
UB0314,Mahendra Nugroho,Teknologi Informasi,"PT Bank Danamon Indonesia, Tbk",Lead Data Scientist,2017
UB0315,Okta Kartika,Ekonomi Islam,Shopee,Officer HR,2017
UB0316,Putri Wibowo,Ilmu Ekonomi,"PT SMART,Tbk",Specialist Marketing,2016
UB0317,Yoga Irawan,Teknik Komputer,PT Kapal Api Global,Senior Product Manager,2018
UB0318,Fajar Efendi,Teknologi Informasi,PT Sumber Rejeki,Lead Software Engineer,2015
UB0319,Erlangga Aditama,Hubungan Internasional,"PT SMART,Tbk",Engineer HR,2016
UB0320,Kartika Firmansyah,Teknik Komputer,Bank BCA,Senior IT Support,2021
UB0321,Indah Nasution,Teknologi Hasil Pertanian,PT Handal Guna Sarana,Supervisor Marketing,2017
UB0322,Rizky Prasetyo,Pendidikan TI,PHINTRACO GROUP,Specialist Marketing,2022
UB0323,Erlangga Prasetyo,Teknik Elektro,PT Sejahtera Abadi,Officer Marketing,2019
UB0324,Dimas Darmawan,Teknik Industri,Tokopedia,Supervisor Admin,2019
UB0325,Bagas Maulana,Teknologi Informasi,Bank Mandiri,Junior Software Engineer,2015
UB0326,Joko Kusuma,Administrasi Publik,"PT. Trimegah Sekuritas Indonesia, Tbk",Head of Department Sales,2015
UB0327,Citra Kurnia,Teknik Mesin,CV Maju Mundur,Specialist Sales,2019
UB0328,Arif Laksana,Teknik Mesin,Gojek,Analyst Sales,2017
UB0329,Nadia Siregar,Administrasi Publik,JAPFA FOOD INDONESIA,Specialist Operations,2020
UB0330,Agus Susanto,Teknik Lingkungan,Bank BCA,Manager Finance,2021
UB0331,Lestari Gunawan,Arsitektur,Bank BCA,Supervisor Admin,2017
UB0332,Xena Laksana,Pendidikan TI,PT Penerbit Erlangga,Specialist HR,2015
UB0333,Okta Pratama,Teknik Sipil,PT Trinusa Travelindo,Supervisor Sales,2017
UB0334,Agus Utama,Psikologi,PT Tsubaki Indonesia Manufacturing,Junior Staff Operations,2018
UB0335,Fajar Gunawan,Teknik Industri,Bank Mandiri,Supervisor Admin,2020
UB0336,Erlangga Maulana,Ilmu Hukum,"PT Japfa Comfeed Indonesia, Tbk",Manager Admin,2015
UB0337,Yoga Puspa,Teknik Elektro,"PT. Trimegah Sekuritas Indonesia, Tbk",Officer HR,2022
UB0338,Indah Pangestu,Hubungan Internasional,CV Maju Mundur,Management Trainee Finance,2016
UB0339,Gilang Yudhoyono,Administrasi Publik,PT CFU Technology Indonesia,Management Trainee Operations,2018
UB0340,Yoga Soekarno,Manajemen,PT Kapal Api Global,Management Trainee Operations,2018
UB0341,Zahra Nugroho,Agroekoteknologi,PT Sejahtera Abadi,Manager Finance,2015
UB0342,Bagas Wijaya,Teknik Lingkungan,PT Bank KEB Hana Indonesia,Management Trainee Sales,2018
UB0343,Joko Gunawan,Teknik Mesin,PT MAS ARYA INDONESIA,Head of Department Admin,2020
UB0344,Rizky Soekarno,Ilmu Komunikasi,"PT DCI Indonesia, Tbk",Specialist Admin,2018
UB0345,Bella Utama,Ilmu Hukum,StartUp Gagal Bangkit,Engineer Admin,2019
UB0346,Farhan Gunawan,Arsitektur,PT Tsubaki Indonesia Manufacturing,Senior Staff Operations,2019
UB0347,Kartika Kurnia,Teknik Informatika,PT. Bank KEB Hana Indonesia,Lead Data Scientist,2018
UB0348,Mahendra Firmansyah,Teknik Informatika,PT Tsubaki Indonesia Manufacturing,Lead Software Engineer,2018
UB0349,Citra Efendi,Agroekoteknologi,PT Kapal Api Global,Junior Staff Sales,2020
UB0350,Qori Yulianto,Akuntansi,PT Sejahtera Abadi,Manager Sales,2015
UB0351,Putri Nugroho,Manajemen,StartUp Gagal Bangkit,Analyst Sales,2018
UB0352,Bella Santoso,Teknik Industri,PT Handal Guna Sarana,Supervisor Sales,2020
UB0353,Zahra Wibowo,Psikologi,PT Bank KEB Hana Indonesia,Supervisor Marketing,2016
UB0354,Bagas Irawan,Teknik Lingkungan,Tokopedia,Analyst Operations,2015
UB0355,Joko Vebrianto,Akuntansi,PT Indocyber Global Teknologi,Engineer Marketing,2019
UB0356,Agus Kartika,Pendidikan TI,PT. Bank KEB Hana Indonesia,Management Trainee Finance,2017
UB0357,Mahendra Nugroho,Pendidikan TI,PT Tsubaki Indonesia Manufacturing,Supervisor HR,2021
UB0358,Desi Nasution,Agribisnis,PT Penerbit Erlangga,Consultant Admin,2015
UB0359,Hana Hartono,Manajemen,PT Kapal Api Global,Officer Admin,2022
UB0360,Hana Utama,Teknologi Informasi,PT Solusi Transportasi Indonesia,Junior Data Scientist,2020
UB0361,Sarah Yudhoyono,Teknik Komputer,PT Mencari Cinta Sejati,Lead Product Manager,2016
UB0362,Cahya Fauzi,Teknik Informatika,Shopee,Junior IT Support,2018
UB0363,Farhan Oktaviani,Ilmu Hukum,Bank Mandiri,Junior Staff Admin,2023
UB0364,Siti Pratama,Teknik Lingkungan,Bank BCA,Consultant Marketing,2020
UB0365,Bella Laksana,Teknik Komputer,PT Bank KEB Hana Indonesia,Junior Software Engineer,2022
UB0366,Eko Wulandari,Teknologi Hasil Pertanian,PT Sumber Rejeki,Specialist Marketing,2022
UB0367,Mahendra Yudhoyono,Keuangan Perbankan,PT Indocyber Global Teknologi,Specialist Admin,2017
UB0368,Wahyu Suharto,Ilmu Hukum,StartUp Gagal Bangkit,Manager Finance,2017
UB0369,Yoga Lestari,Teknik Industri,Shopee,Senior Staff Operations,2021
UB0370,Kartika Susanto,Agribisnis,StartUp Gagal Bangkit,Analyst Operations,2016
UB0371,Citra Widodo,Teknik Elektro,PT Mencari Cinta Sejati,Head of Department Marketing,2017
UB0372,Indah Efendi,Teknik Lingkungan,PT CFU Technology Indonesia,Engineer Sales,2017
UB0373,Pandu Kurnia,Arsitektur,"PT Bank Danamon Indonesia, Tbk",Specialist HR,2016
UB0374,Qori Suharto,Teknik Elektro,Bank Mandiri,Officer Operations,2015
UB0375,Mahendra Gunawan,Teknik Lingkungan,PT CFU Technology Indonesia,Senior Staff Sales,2022
UB0376,Eko Tanjung,Teknologi Informasi,PT Tsubaki Indonesia Manufacturing,Senior Product Manager,2015
UB0377,Julia Saputra,Sistem Informasi,Gojek,Senior Data Scientist,2017
UB0378,Gilang Aminah,Ilmu Hukum,"PT DCI Indonesia, Tbk",Head of Department Operations,2020
UB0379,Pandu Permata,Teknik Industri,PT Solusi Transportasi Indonesia,Officer Sales,2020
UB0380,Erlangga Baswedan,Teknik Komputer,Telkom Indonesia,Junior Data Scientist,2023
UB0381,Nadia Puspa,Sistem Informasi,"PT DCI Indonesia, Tbk",Lead Software Engineer,2022
UB0382,Budi Permata,Teknik Lingkungan,PT Kapal Api Global,Junior Staff HR,2023
UB0383,Vina Firmansyah,Teknik Lingkungan,PT Solusi Transportasi Indonesia,Head of Department HR,2016
UB0384,Aditya Kurnia,Arsitektur,PT Sejahtera Abadi,Manager Admin,2018
UB0385,Bagas Pangestu,Sistem Informasi,CV Maju Mundur,Lead DevOps,2015
UB0386,Eko Prasetyo,Manajemen,StartUp Gagal Bangkit,Management Trainee Admin,2015
UB0387,Sarah Jaya,Arsitektur,PT Mencari Cinta Sejati,Specialist Admin,2023
UB0388,Sarah Utama,Ilmu Ekonomi,PT Handal Guna Sarana,Officer Finance,2017
UB0389,Mahendra Zulkarnain,Pendidikan TI,PT Sejahtera Abadi,Manager HR,2021
UB0390,Desi Gunawan,Agroekoteknologi,PT Mencari Cinta Sejati,Management Trainee Finance,2015
UB0391,Andi Nasution,Teknik Elektro,PT MAS ARYA INDONESIA,Analyst Finance,2018
UB0392,Sarah Widodo,Teknik Informatika,JAPFA FOOD INDONESIA,Lead DevOps,2020
UB0393,Nadia Budiman,Ekonomi Islam,PT MAS ARYA INDONESIA,Senior Staff HR,2020
UB0394,Mahendra Qodir,Hubungan Internasional,PT Sumber Rejeki,Management Trainee Admin,2018
UB0395,Utomo Utami,Teknik Informatika,PT Sumber Rejeki,Lead Data Scientist,2023
UB0396,Radit Irawan,Agribisnis,"PT Japfa Comfeed Indonesia, Tbk",Specialist Marketing,2019
UB0397,Irfan Wijaya,Teknik Lingkungan,PT Sejahtera Abadi,Senior Staff HR,2020
UB0398,Qori Pangestu,Teknik Elektro,"PT SMART,Tbk",Engineer Sales,2018
UB0399,Irfan Susanto,Teknik Lingkungan,PT Trinusa Travelindo,Manager HR,2023
UB0400,Lestari Nugroho,Teknik Mesin,CV Maju Mundur,Specialist Marketing,2023
UB0401,Bagas Pratama,Teknik Lingkungan,Gojek,Manager Admin,2021
UB0402,Nadia Kartika,Hubungan Internasional,Gojek,Head of Department Sales,2017
UB0403,Farhan Aminah,Teknik Sipil,PT Indocyber Global Teknologi,Officer Operations,2015
UB0404,Zahra Kartika,Teknik Sipil,PT Tsubaki Indonesia Manufacturing,Management Trainee Operations,2017
UB0405,Utomo Anggara,Ilmu Komunikasi,Bank BCA,Specialist HR,2019
UB0406,Sarah Hidayat,Teknik Informatika,PT Kapal Api Global,Lead IT Support,2020
UB0407,Nadia Utama,Teknik Informatika,PT Mencari Cinta Sejati,Senior DevOps,2020
UB0408,Vina Gunawan,Administrasi Publik,Bank BCA,Consultant Sales,2021
UB0409,Laras Irawan,Keuangan Perbankan,PT Tsubaki Indonesia Manufacturing,Manager Sales,2019
UB0410,Agus Hartono,Teknik Informatika,"PT SMART,Tbk",Lead Data Scientist,2017
UB0411,Fajar Budiman,Agroekoteknologi,PT Mencari Cinta Sejati,Engineer Sales,2023
UB0412,Andi Aminah,Teknik Sipil,Telkom Indonesia,Manager Operations,2019
UB0413,Cahya Kurnia,Teknik Industri,Gojek,Manager Marketing,2018
UB0414,Siti Qodir,Akuntansi,Gojek,Manager HR,2022
UB0415,Budi Budiman,Ilmu Komunikasi,Gojek,Management Trainee Sales,2015
UB0416,Rizky Cahyono,Teknik Mesin,PT CFU Technology Indonesia,Junior Staff Sales,2020
UB0417,Siti Budiman,Teknik Komputer,PT Sumber Rejeki,Senior Software Engineer,2020
UB0418,Bella Suharto,Agribisnis,PT Indocyber Global Teknologi,Supervisor Finance,2019
UB0419,Budi Nugroho,Teknik Mesin,PT Solusi Transportasi Indonesia,Analyst HR,2015
UB0420,Citra Siregar,Teknik Sipil,PT Bank KEB Hana Indonesia,Consultant HR,2021
UB0421,Pandu Jaya,Agribisnis,PT MAS ARYA INDONESIA,Analyst Finance,2019
UB0422,Okta Kusuma,Teknik Komputer,Bank Mandiri,Senior Software Engineer,2017
UB0423,Qori Oktaviani,Manajemen,"PT DCI Indonesia, Tbk",Engineer Sales,2015
UB0424,Rizky Aminah,Manajemen,PT Handal Guna Sarana,Management Trainee Finance,2022
UB0425,Qori Prasetyo,Keuangan Perbankan,PT Trinusa Travelindo,Specialist Finance,2022
UB0426,Kevin Efendi,Arsitektur,PT Bank KEB Hana Indonesia,Supervisor Operations,2020
UB0427,Indah Efendi,Pendidikan TI,"PT Japfa Comfeed Indonesia, Tbk",Consultant Sales,2021
UB0428,Irfan Yulianto,Arsitektur,"PT. Trimegah Sekuritas Indonesia, Tbk",Officer HR,2015
UB0429,Pandu Fauzi,Psikologi,CV Maju Mundur,Specialist HR,2021
UB0430,Laras Susanto,Teknik Sipil,Tokopedia,Engineer Finance,2019
UB0431,Budi Anggara,Ilmu Hukum,PT MAS ARYA INDONESIA,Junior Staff Admin,2023
UB0432,Hadi Yudhoyono,Ilmu Komunikasi,Bank BCA,Officer HR,2020
UB0433,Putri Kartika,Ilmu Ekonomi,PT CFU Technology Indonesia,Manager Marketing,2022
UB0434,Julia Yulianto,Teknik Informatika,CV Maju Mundur,Senior Data Scientist,2019
UB0435,Gita Pratama,Agroekoteknologi,PT Bank KEB Hana Indonesia,Junior Staff Admin,2019
UB0436,Kevin Efendi,Teknik Elektro,PT Handal Guna Sarana,Senior Staff Marketing,2018
UB0437,Mahendra Yulianto,Arsitektur,Telkom Indonesia,Analyst Operations,2015
UB0438,Cahya Aditama,Teknologi Informasi,JAPFA FOOD INDONESIA,Lead Software Engineer,2017
UB0439,Nadia Yulianto,Teknik Informatika,Xiaomi Technology,Lead DevOps,2018
UB0440,Kevin Widodo,Arsitektur,PT Tsubaki Indonesia Manufacturing,Consultant Admin,2017
UB0441,Nina Wijaya,Teknik Sipil,PT Sumber Rejeki,Consultant Marketing,2018
UB0442,Indah Lestari,Ilmu Hukum,PT Penerbit Erlangga,Junior Staff HR,2017
UB0443,Lestari Nugroho,Administrasi Publik,"PT. Trimegah Sekuritas Indonesia, Tbk",Senior Staff Operations,2017
UB0444,Utomo Wijaya,Teknologi Hasil Pertanian,JAPFA FOOD INDONESIA,Engineer HR,2016
UB0445,Mahendra Efendi,Teknik Komputer,Gojek,Senior Data Scientist,2022
UB0446,Sarah Efendi,Teknik Industri,Xiaomi Technology,Officer Finance,2020
UB0447,Andi Pangestu,Agroekoteknologi,Gojek,Management Trainee Sales,2017
UB0448,Farhan Kurnia,Teknologi Hasil Pertanian,PT Tsubaki Indonesia Manufacturing,Supervisor Finance,2020
UB0449,Yoga Soekarno,Psikologi,Shopee,Manager Operations,2017
UB0450,Rina Susanto,Teknologi Informasi,PT Handal Guna Sarana,Lead Data Scientist,2017
UB0451,Hadi Nugroho,Arsitektur,CV Maju Mundur,Analyst Admin,2018
UB0452,Utomo Fauzi,Ilmu Hukum,PT Kapal Api Global,Officer Operations,2020
UB0453,Kartika Saputra,Teknologi Informasi,PT Sejahtera Abadi,Lead Data Scientist,2023
UB0454,Indah Rahmawati,Sistem Informasi,PT Bank KEB Hana Indonesia,Junior IT Support,2021
UB0455,Eko Oktaviani,Psikologi,PT MAS ARYA INDONESIA,Head of Department Admin,2016
UB0456,Laras Santoso,Psikologi,PT Penerbit Erlangga,Supervisor Admin,2018
UB0457,Desi Anggara,Ilmu Komunikasi,PT Kapal Api Global,Senior Staff HR,2020
UB0458,Qori Qodir,Teknik Industri,PT Sejahtera Abadi,Senior Staff Admin,2019
UB0459,Putri Nugroho,Manajemen,"PT Japfa Comfeed Indonesia, Tbk",Supervisor Finance,2015
UB0460,Okta Nugroho,Ilmu Ekonomi,Bank BCA,Supervisor HR,2021
UB0461,Qori Prasetyo,Teknik Lingkungan,PT Sumber Rejeki,Officer Sales,2018
UB0462,Arif Puspa,Teknik Komputer,PT Bank KEB Hana Indonesia,Senior IT Support,2023
UB0463,Andi Darmawan,Agribisnis,PT Indocyber Global Teknologi,Head of Department Admin,2017
UB0464,Dimas Kusuma,Arsitektur,"PT Bank Danamon Indonesia, Tbk",Consultant HR,2023
UB0465,Radit Suharto,Teknik Sipil,Gojek,Officer HR,2020
UB0466,Zahra Darmawan,Teknologi Hasil Pertanian,Bank BCA,Engineer Finance,2018
UB0467,Dimas Soekarno,Psikologi,CV Maju Mundur,Manager Operations,2015
UB0468,Erlangga Tanjung,Teknik Industri,PT. Bank KEB Hana Indonesia,Consultant Finance,2022
UB0469,Dimas Zulkarnain,Teknologi Informasi,PT Penerbit Erlangga,Senior IT Support,2015
UB0470,Sarah Saputra,Teknologi Hasil Pertanian,PT Tsubaki Indonesia Manufacturing,Supervisor HR,2018
UB0471,Lestari Setiawan,Teknik Sipil,Bank BCA,Senior Staff Admin,2018
UB0472,Joko Jaya,Teknik Komputer,PT Mencari Cinta Sejati,Junior Data Scientist,2019
UB0473,Tegar Permata,Pendidikan TI,PT Sumber Rejeki,Supervisor Marketing,2022
UB0474,Hana Fauzi,Hubungan Internasional,PT Tsubaki Indonesia Manufacturing,Management Trainee Operations,2016
UB0475,Rina Maulana,Keuangan Perbankan,PT Tsubaki Indonesia Manufacturing,Junior Staff Sales,2019
UB0476,Yoga Santoso,Keuangan Perbankan,Xiaomi Technology,Analyst HR,2022
UB0477,Chandra Widodo,Teknologi Informasi,PT Handal Guna Sarana,Lead IT Support,2016
UB0478,Wahyu Kartika,Teknologi Informasi,"PT. Trimegah Sekuritas Indonesia, Tbk",Lead DevOps,2022
UB0479,Pandu Puspa,Manajemen,PT Tsubaki Indonesia Manufacturing,Manager Admin,2023
UB0480,Bella Pratama,Ilmu Ekonomi,JAPFA FOOD INDONESIA,Consultant Sales,2022
UB0481,Fajar Wibowo,Teknik Elektro,Shopee,Analyst Operations,2020
UB0482,Cahya Wijaya,Agroekoteknologi,PT Sejahtera Abadi,Management Trainee Marketing,2016
UB0483,Bayu Budiman,Teknik Informatika,PT Bank KEB Hana Indonesia,Junior IT Support,2023
UB0484,Vina Firmansyah,Akuntansi,CV Maju Mundur,Manager Marketing,2015
UB0485,Bella Kusuma,Hubungan Internasional,PT CFU Technology Indonesia,Head of Department Admin,2018
UB0486,Indah Susanto,Teknik Mesin,"PT SMART,Tbk",Manager Finance,2016
UB0487,Joko Rahmawati,Manajemen,"PT DCI Indonesia, Tbk",Officer Finance,2016
UB0488,Utomo Lestari,Arsitektur,PT Mencari Cinta Sejati,Analyst Admin,2015
UB0489,Gilang Pangestu,Teknik Mesin,Gojek,Specialist Sales,2020
UB0490,Kevin Wibowo,Agroekoteknologi,CV Maju Mundur,Management Trainee Finance,2021
UB0491,Cahya Oktaviani,Ilmu Hukum,JAPFA FOOD INDONESIA,Senior Staff Finance,2022
UB0492,Indah Wulandari,Teknologi Hasil Pertanian,PT Handal Guna Sarana,Senior Staff Marketing,2021
UB0493,Cahya Irawan,Sistem Informasi,PT Penerbit Erlangga,Lead Software Engineer,2021
UB0494,Nadia Aminah,Teknologi Informasi,PT Penerbit Erlangga,Senior IT Support,2015
UB0495,Utomo Cahyono,Sistem Informasi,PT Penerbit Erlangga,Lead Data Scientist,2021
UB0496,Joko Oktaviani,Keuangan Perbankan,PT Trinusa Travelindo,Head of Department Finance,2022
UB0497,Bella Kusuma,Teknik Elektro,Bank BCA,Consultant Operations,2016
UB0498,Zahra Nasution,Psikologi,Telkom Indonesia,Junior Staff Finance,2019
UB0499,Kartika Kurnia,Sistem Informasi,Xiaomi Technology,Lead DevOps,2019
UB0500,Dewi Puspa,Keuangan Perbankan,PT Sejahtera Abadi,Manager HR,2019
UB0501,Zahra Efendi,Teknik Mesin,PT Bank KEB Hana Indonesia,Consultant Finance,2021
UB0502,Dinda Suharto,Arsitektur,"PT SMART,Tbk",Consultant Sales,2017
UB0503,Dimas Anggara,Hubungan Internasional,PT Mencari Cinta Sejati,Management Trainee Admin,2016
UB0504,Dinda Rahmawati,Sistem Informasi,PT. Bank KEB Hana Indonesia,Junior Product Manager,2018
UB0505,Putri Utami,Hubungan Internasional,"PT DCI Indonesia, Tbk",Management Trainee Operations,2023
UB0506,Yoga Tanjung,Agroekoteknologi,JAPFA FOOD INDONESIA,Junior Staff Finance,2015
UB0507,Dewi Wulandari,Keuangan Perbankan,Gojek,Specialist Sales,2017
UB0508,Qori Utami,Ilmu Komunikasi,CV Maju Mundur,Supervisor HR,2019
UB0509,Dimas Wijaya,Teknologi Informasi,"PT. Trimegah Sekuritas Indonesia, Tbk",Lead Product Manager,2019
UB0510,Farhan Anggara,Arsitektur,"PT Bank Danamon Indonesia, Tbk",Officer Marketing,2016
UB0511,Arif Siregar,Teknik Sipil,PT. Bank KEB Hana Indonesia,Junior Staff Operations,2020
UB0512,Farhan Budiman,Keuangan Perbankan,JAPFA FOOD INDONESIA,Junior Staff Admin,2017
UB0513,Putri Zulkarnain,Ilmu Ekonomi,"PT DCI Indonesia, Tbk",Engineer HR,2021
UB0514,Rizky Aminah,Pendidikan TI,PT Sejahtera Abadi,Management Trainee Sales,2015
UB0515,Julia Prasetyo,Ilmu Hukum,PT Indocyber Global Teknologi,Engineer Sales,2018
UB0516,Utomo Maulana,Ilmu Hukum,Gojek,Engineer Finance,2019
UB0517,Pandu Aditama,Ilmu Hukum,PHINTRACO GROUP,Analyst Marketing,2020
UB0518,Bagas Kusumo,Sistem Informasi,PT Trinusa Travelindo,Senior Product Manager,2015
UB0519,Kartika Wulandari,Teknik Sipil,PT Sumber Rejeki,Analyst Marketing,2023
UB0520,Dinda Wijaya,Hubungan Internasional,Xiaomi Technology,Manager Admin,2020
UB0521,Zahra Oktaviani,Teknik Mesin,Xiaomi Technology,Specialist Marketing,2023
UB0522,Radit Laksana,Ilmu Komunikasi,"PT SMART,Tbk",Specialist Sales,2022
UB0523,Siti Hidayat,Teknik Elektro,Tokopedia,Head of Department Marketing,2019
UB0524,Yoga Vebrianto,Ilmu Hukum,Xiaomi Technology,Supervisor Admin,2018
UB0525,Bayu Susanto,Manajemen,PT MAS ARYA INDONESIA,Manager Sales,2016
UB0526,Hadi Hidayat,Arsitektur,PT Indocyber Global Teknologi,Head of Department Finance,2019
UB0527,Qori Efendi,Arsitektur,PT Mencari Cinta Sejati,Analyst HR,2020
UB0528,Erlangga Nasution,Teknik Informatika,PT Bank KEB Hana Indonesia,Senior IT Support,2023
UB0529,Bagas Baswedan,Arsitektur,PT Solusi Transportasi Indonesia,Senior Staff HR,2015
UB0530,Arif Setiawan,Teknik Sipil,Bank Mandiri,Manager Operations,2016
UB0531,Zahra Budiman,Teknik Komputer,PT Bank KEB Hana Indonesia,Junior Data Scientist,2018
UB0532,Arif Hartono,Agribisnis,StartUp Gagal Bangkit,Manager Finance,2017
UB0533,Chandra Kurnia,Teknik Elektro,PT Mencari Cinta Sejati,Manager Marketing,2017
UB0534,Nadia Utama,Teknik Mesin,PT Penerbit Erlangga,Junior Staff Finance,2021
UB0535,Aditya Laksana,Psikologi,PHINTRACO GROUP,Manager Finance,2022
UB0536,Julia Yudhoyono,Teknik Sipil,PT Bank KEB Hana Indonesia,Head of Department Operations,2015
UB0537,Kevin Jaya,Pendidikan TI,Bank Mandiri,Supervisor Finance,2018
UB0538,Dimas Susanto,Teknik Informatika,Bank Mandiri,Junior Software Engineer,2023
UB0539,Arif Aminah,Ilmu Ekonomi,Bank BCA,Senior Staff Admin,2015
UB0540,Fajar Yulianto,Teknologi Hasil Pertanian,Gojek,Senior Staff Operations,2016
UB0541,Vina Darmawan,Administrasi Publik,PT Indocyber Global Teknologi,Engineer Marketing,2018
UB0542,Bagas Anggara,Keuangan Perbankan,"PT Japfa Comfeed Indonesia, Tbk",Specialist Operations,2022
UB0543,Dinda Utami,Agribisnis,"PT Bank Danamon Indonesia, Tbk",Specialist Sales,2019
UB0544,Wahyu Widodo,Agribisnis,Tokopedia,Specialist Marketing,2015
UB0545,Dimas Wulandari,Ilmu Ekonomi,Bank Mandiri,Officer Marketing,2017
UB0546,Radit Maulana,Teknik Sipil,Shopee,Analyst Sales,2019
UB0547,Rina Lestari,Pendidikan TI,Telkom Indonesia,Supervisor HR,2023
UB0548,Gita Gunawan,Ilmu Ekonomi,Gojek,Specialist HR,2017
UB0549,Arif Widodo,Keuangan Perbankan,PT Trinusa Travelindo,Analyst Finance,2022
UB0550,Hana Qodir,Teknologi Informasi,PT Bank KEB Hana Indonesia,Junior DevOps,2017
UB0551,Radit Kartika,Agribisnis,Gojek,Engineer Admin,2023
UB0552,Budi Yudhoyono,Agribisnis,PT Indocyber Global Teknologi,Consultant Finance,2023
UB0553,Gita Saputra,Teknik Industri,PT Sejahtera Abadi,Engineer Finance,2017
UB0554,Indah Aminah,Ilmu Komunikasi,Shopee,Consultant HR,2017
UB0555,Laras Budiman,Ilmu Ekonomi,Bank BCA,Specialist Marketing,2021
UB0556,Gilang Darmawan,Teknologi Informasi,PT Handal Guna Sarana,Junior Data Scientist,2020
UB0557,Lestari Setiawan,Keuangan Perbankan,PT Indocyber Global Teknologi,Analyst Operations,2022
UB0558,Rizky Prasetyo,Teknik Informatika,"PT Bank Danamon Indonesia, Tbk",Lead Software Engineer,2019
UB0559,Xena Hartono,Teknologi Hasil Pertanian,PHINTRACO GROUP,Officer Marketing,2015
UB0560,Sarah Oktaviani,Manajemen,StartUp Gagal Bangkit,Supervisor HR,2017
UB0561,Andi Puspa,Agroekoteknologi,Shopee,Junior Staff Sales,2021
UB0562,Zahra Soekarno,Ilmu Ekonomi,"PT DCI Indonesia, Tbk",Specialist HR,2019
UB0563,Gita Susanto,Hubungan Internasional,PT Kapal Api Global,Analyst Sales,2018
UB0564,Joko Wijaya,Teknik Komputer,PT Bank KEB Hana Indonesia,Senior Software Engineer,2016
UB0565,Bagas Prasetyo,Teknologi Hasil Pertanian,"PT Japfa Comfeed Indonesia, Tbk",Head of Department Admin,2015
UB0566,Fajar Qodir,Ilmu Ekonomi,PT Sumber Rejeki,Analyst HR,2022
UB0567,Lestari Vebrianto,Akuntansi,PT Handal Guna Sarana,Analyst Sales,2015
UB0568,Nadia Wulandari,Teknik Sipil,Xiaomi Technology,Head of Department Sales,2021
UB0569,Gilang Efendi,Teknik Komputer,"PT Japfa Comfeed Indonesia, Tbk",Junior Product Manager,2023
UB0570,Dimas Utami,Sistem Informasi,CV Maju Mundur,Junior Data Scientist,2020
UB0571,Andi Kurnia,Pendidikan TI,PT Indocyber Global Teknologi,Management Trainee Marketing,2023
